1099511627776,0,Apr  9 14:54,"./f"
1099511628778,12,Apr  9 15:17,"./home/dthrane/another.txt"
1099511627779,6,Apr  9 15:05,"./home/dthrane/hello.txt"
1099511627782,0,Apr 10 13:05,"./home/dthrane/please_share/another-one"*
1099511627781,0,Apr 10 13:05,"./home/dthrane/please_share/file"*
1099511627784,0,Apr 10 13:05,"./home/dthrane/please_share/folder/foo"
1099511627822,1689,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/abstract.tex"
1099511627823,90,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/acknowledgements.tex"
1099511627825,1924,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/appendix/col_grammar.tex"
1099511627826,693,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/appendix/java_build.tex"
1099511627827,104,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/appendix/main.tex"
1099511627828,6513,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/appendix/package_specification.tex"
1099511627830,2914,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/background/calc_system.eps"
1099511627831,512,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/background/calc_system.txt"
1099511627832,11226,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/background/complete_jolie_service.tex"
1099511627833,2993,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/background/jolie_interpreter.tex"
1099511627834,186,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/background/main.tex"
1099511627835,1753,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/background/microservices.tex"
1099511627836,4910,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/background/package_managers.tex"
1099511627837,4366,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/background/pipeline.eps"
1099511627838,1294,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/background/pipeline.txt"
1099511627839,8307,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/background/simple_jolie_intro.tex"
1099511627840,23,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/base_interfaces.iol"
1099511627841,158503,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/biblio.bib"
1099511627842,62,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/build_assets.sh"*
1099511627843,244,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/cb.col"
1099511627845,2237,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/conclusion/main.tex"
1099511627846,1338,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/critical_todos"
1099511627847,251118,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/ditaa-eps.jar"
1099511627851,0,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/examples/complete/include/shop.iol"
1099511627852,0,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/examples/complete/inventory.iol"
1099511627853,0,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/examples/complete/payment.iol"
1099511627854,0,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/examples/complete/payment.ol"
1099511627855,0,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/examples/complete/shipping.iol"
1099511627856,0,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/examples/complete/shop.ol"
1099511627857,24,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/future_work.tex"
1099511627859,1611,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/introduction/embedding.eps"
1099511627860,473,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/introduction/embedding.txt"
1099511627861,6959,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/introduction/main.tex"
1099511627862,1490,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/introduction/simple_box_and_line.eps"
1099511627863,1209,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/introduction/simple_box_and_line.png"
1099511627864,72,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/introduction/simple_box_and_line.txt"
1099511627865,865412,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/main.pdf"
1099511627866,5846,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/main.tex"
1099511627867,9743,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/main.toc"
1099511627870,19383,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/modules/configuration_impl.tex"
1099511627869,18574,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/modules/configuration.tex"
1099511627871,11433,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/modules/examples.tex"
1099511627872,4417,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/modules/interface_rebinding.tex"
1099511627873,119,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/modules/main.tex"
1099511627874,4063,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/modules/modules_impl.tex"
1099511627875,3842,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/modules/normal_conf.eps"
1099511627876,696,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/modules/normal_conf.txt"
1099511627877,2888,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/modules/simple_calc.eps"
1099511627878,256,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/modules/simple_calc.txt"
1099511627879,258,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/modules/the_problem.tex"
1099511627882,92608,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/package_manager/auth_sequence.eps"
1099511627883,19257,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/package_manager/auth_sequence.png"
1099511627884,730,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/package_manager/auth_sequence.txt"
1099511627881,9439,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/package_manager/auth.tex"
1099511627885,3722,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/package_manager/backend.tex"
1099511627886,2179,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/package_manager/cache.tex"
1099511627888,6951,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/package_manager/cli_arch.eps"
1099511627889,1401,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/package_manager/cli_arch.txt"
1099511627887,4269,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/package_manager/cli.tex"
1099511627890,10648,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/package_manager/examples.tex"
1099511627891,1419,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/package_manager/introduction.tex"
1099511627892,1625,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/package_manager/jolie_java_service.eps"
1099511627893,473,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/package_manager/jolie_java_service.txt"
1099511627894,264,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/package_manager/main.tex"
1099511627895,5081,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/package_manager/registry-database.tex"
1099511627896,2258,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/package_manager/registry.tex"
1099511627898,1646,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/packages/architecture.tex"
1099511627899,8848,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/packages/dependencies.tex"
1099511627900,2186,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/packages/high_level_arch.eps"
1099511627901,141,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/packages/high_level_arch.txt"
1099511627902,360,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/packages/integrity_check.tex"
1099511627903,2021,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/packages/introduction.tex"
1099511627904,2339,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/packages/lifetime_hooks.tex"
1099511627905,5749,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/packages/lockfiles.tex"
1099511627906,204,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/packages/main.tex"
1099511627907,9478,May 31  2017,"./home/jonas@hinchely.dk/Dan's Master Thesis/packages/meta_data.tex"
