1,1,,0,2500000,1672531200000,1735689600000
2,2,1,0,600000,1672531200000,1735689600000
3,3,1,0,1000000,1672531200000,1735689600000
4,4,2,0,334000,1672531200000,1735689600000
5,4,2,0,333000,1672531200000,1735689600000
6,4,2,0,333000,1672531200000,1735689600000
7,5,4,0,1000000,1672531200000,1735689600000
8,5,2,0,1000000,1672531200000,1735689600000
9,5,3,0,2000000,1672531200000,1735689600000
10,6,0,0,2500000,1672531200000,1735689600000
11,3,6,0,2000000,1672531200000,1735689600000
12,5,6,0,1000000,1672531200000,1735689600000
13,2,1,0,600000,1672531200000,1735689600000
